Subject ID,True_block,Trial_type,Group,Accuracy,Reaction_time
192D1,1,congruent,A,0,NaN
192D1,1,congruent,A,1,0.68697527
192D1,1,incongruent,A,0,1.590539718
192D1,1,congruent,A,1,0.065561102
192D1,1,congruent,A,1,1.6588297
192D1,1,congruent,A,1,0.69918703
192D1,1,congruent,A,1,0.442597715
192D1,1,incongruent,A,0,0.149718632
192D1,1,incongruent,A,1,0.492378375
192D1,1,incongruent,A,0,0.13185576
192D1,1,incongruent,A,1,0.394372993
192D1,1,incongruent,A,0,0.366105072
192D1,2,incongruent,A,1,0.331263884
192D1,2,congruent,A,1,0.129577864
192D1,2,incongruent,A,1,0.336006296
192D1,2,congruent,A,1,0.350216378
192D1,2,incongruent,A,1,0.308591932
192D1,2,congruent,A,0,0.461168261
192D1,2,congruent,A,1,0.31018946
192D1,2,incongruent,A,0,0.11794853
192D1,2,congruent,A,1,0.332302438
192D1,2,incongruent,A,1,0.282744046
192D1,2,congruent,A,1,0.395915621
192D1,2,incongruent,A,1,0.3036225
192D1,3,congruent,A,0,0.28737689
192D1,3,incongruent,A,1,0.407079148
192D1,3,congruent,A,1,0.34660955
192D1,3,incongruent,A,0,0.241762699
192D1,3,incongruent,A,0,-0.002898762
192D1,3,incongruent,A,0,0.272779458
192D1,3,congruent,A,1,0.049871818
192D1,3,congruent,A,1,0.28518346
192D1,3,congruent,A,1,0.244111116
192D1,3,congruent,A,1,0.287204448
192D1,3,incongruent,A,0,0.086952902
192D1,3,incongruent,A,0,0.278896598
0E05F,1,congruent,A,1,0.655746351
0E05F,1,incongruent,A,0,NaN
0E05F,1,incongruent,A,0,NaN
0E05F,1,incongruent,A,0,NaN
0E05F,1,congruent,A,0,NaN
0E05F,1,incongruent,A,0,NaN
0E05F,1,incongruent,A,0,0.589529866
0E05F,1,congruent,A,1,1.649264097
0E05F,1,congruent,A,0,NaN
0E05F,1,congruent,A,0,NaN
0E05F,1,congruent,A,0,NaN
0E05F,1,incongruent,A,0,NaN
0E05F,2,congruent,A,0,NaN
0E05F,2,incongruent,A,0,NaN
0E05F,2,congruent,A,0,NaN
0E05F,2,congruent,A,0,NaN
0E05F,2,incongruent,A,1,0.599669918
0E05F,2,incongruent,A,1,0.355290782
0E05F,2,congruent,A,1,0.46059498
0E05F,2,incongruent,A,1,0.38356462
0E05F,2,incongruent,A,1,0.471406858
0E05F,2,congruent,A,1,0.45436383
0E05F,2,incongruent,A,1,0.418520662
0E05F,2,congruent,A,1,0.395111241
0E05F,3,congruent,A,1,0.440600854
0E05F,3,incongruent,A,1,0.449794366
0E05F,3,incongruent,A,1,0.32407853
0E05F,3,congruent,A,1,0.418544116
0E05F,3,incongruent,A,1,0.324966917
0E05F,3,incongruent,A,1,0.352537745
0E05F,3,incongruent,A,1,0.4030013
0E05F,3,incongruent,A,1,0.379120766
0E05F,3,congruent,A,1,0.41622296
0E05F,3,congruent,A,1,0.4219164
0E05F,3,congruent,A,1,0.366357809
0E05F,3,congruent,A,1,0.406414052
06AA6,1,congruent,A,1,1.810263217
06AA6,1,incongruent,A,0,0.168661082
06AA6,1,incongruent,A,1,0.609433866
06AA6,1,congruent,A,1,0.503090224
06AA6,1,incongruent,A,1,0.794261689
06AA6,1,congruent,A,1,0.646333812
